medium_id	original	base_compound	base_chebi_id	base_chebi_label	original_normalized	label_normalized	similarity
dsmz_998_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_998_composition	Biotine	Biotine	CHEBI:15956	biotin	biotine	biotin	0.0
dsmz_998_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_998_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_998_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_998_composition	MnCl2 2-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_998_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_1584_composition	FeCl2 4-hydrate	FeCl2	CHEBI:30808	iron(2+) chloride	fecl2	iron chloride	0.0
dsmz_998_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_998_composition	CuCl2 2-hydrate	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_1182_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_1182_composition	Na2CO3	Na2CO3	CHEBI:29377	sodium carbonate	na2co3	sodium carbonate	0.0
dsmz_1182_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_1584_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_1584_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_1584_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_1584_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_1584_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_998_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_1367_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_1740_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_104d_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_866_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_866_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_866_composition	CuCl2 2-hydrate	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_866_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_866_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_1444_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_1444_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_1444_composition	CaCl2	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_1444_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_866_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_1444_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_1647_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_1647_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_1647_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_1647_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_1647_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_1647_composition	FeCl2 4-hydrate	FeCl2	CHEBI:30808	iron(2+) chloride	fecl2	iron chloride	0.0
dsmz_1647_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_1647_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_1647_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_1444_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_1647_composition	CuCl2	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_866_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_866_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_282_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_282_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_282_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_282_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_858_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_858_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_858_composition	CaCl2	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_858_composition	NaNO3	NaNO3	CHEBI:63005	sodium nitrate	nano3	sodium nitrate	0.0
dsmz_858_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_866_composition	FeCl2 4-hydrate	FeCl2	CHEBI:30808	iron(2+) chloride	fecl2	iron chloride	0.0
dsmz_1042_composition	NaNO3	NaNO3	CHEBI:63005	sodium nitrate	nano3	sodium nitrate	0.0
dsmz_1042_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_1241_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_1241_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_866_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_866_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_866_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_866_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_866_composition	Na2CO3	Na2CO3	CHEBI:29377	sodium carbonate	na2co3	sodium carbonate	0.0
dsmz_866_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_1042_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_104d_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_1647_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_1647_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_1299_composition	CuCl2 2-hydrate	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_1299_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_1299_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_880_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_880_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_880_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_880_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_880_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_880_composition	FeCl2 4-hydrate	FeCl2	CHEBI:30808	iron(2+) chloride	fecl2	iron chloride	0.0
dsmz_1299_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_880_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_880_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_880_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_880_composition	CuCl2 2-hydrate	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_880_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_880_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_880_composition	Na2SeO3 5-hydrate	Na2SeO3	CHEBI:48843	sodium selenite	na2selenite	sodium selenite	0.0
dsmz_880_composition	Na2WO4 2-hydrate	Na2WO4	CHEBI:77885	sodium tungstate	na2tungstate	sodium tungstate	0.0
dsmz_104d_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_104d_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_880_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_1647_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_1299_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_1299_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_1647_composition	Na2SeO3	Na2SeO3	CHEBI:48843	sodium selenite	na2selenite	sodium selenite	0.0
ccap_NCL_PJ_0_01_NPA_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_144b_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_144b_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_144b_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_144b_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_144b_composition	Na2CO3	Na2CO3	CHEBI:29377	sodium carbonate	na2co3	sodium carbonate	0.0
dsmz_144b_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_144b_composition	CoCl2 6-hydrate	CoCl2	CHEBI:35696	cobalt(2+) chloride	cocl2	cobalt chloride	0.0
dsmz_1299_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_144b_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_144b_composition	ZnCl2	ZnCl2	CHEBI:49976	zinc chloride	zncl2	zinc chloride	0.0
dsmz_144b_composition	Na2WO4 2-hydrate	Na2WO4	CHEBI:77885	sodium tungstate	na2tungstate	sodium tungstate	0.0
dsmz_144b_composition	Na2SeO3 5-hydrate	Na2SeO3	CHEBI:48843	sodium selenite	na2selenite	sodium selenite	0.0
dsmz_144b_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_144b_composition	CuCl2 2-hydrate	CuCl2	CHEBI:49553	copper(2+) chloride	cucl2	copper chloride	0.0
dsmz_144b_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_144b_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_1299_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_1299_composition	FeCl2 4-hydrate	FeCl2	CHEBI:30808	iron(2+) chloride	fecl2	iron chloride	0.0
dsmz_144b_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_282_composition	MgCl2 6-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_1367_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_1367_composition	ZnSO4 7-hydrate	ZnSO4	CHEBI:35176	zinc sulfate	znso4	zinc sulfate	0.0
dsmz_498_composition	ZnSO4 7-hydrate	ZnSO4	CHEBI:35176	zinc sulfate	znso4	zinc sulfate	0.0
dsmz_498_composition	CuSO4 5-hydrate	CuSO4	CHEBI:23414	copper(2+) sulfate	cuso4	copper sulfate	0.0
dsmz_498_composition	H3BO3	H3BO3	CHEBI:33118	boric acid	h3bo3	boric	0.0
dsmz_498_composition	Na2MoO4 2-hydrate	Na2MoO4	CHEBI:75215	sodium molybdate	na2molybdate	sodium molybdate	0.0
dsmz_498_composition	NiCl2 6-hydrate	NiCl2	CHEBI:34887	nickel(2+) chloride	nicl2	nickel chloride	0.0
dsmz_498_composition	Na2SeO3 5-hydrate	Na2SeO3	CHEBI:48843	sodium selenite	na2selenite	sodium selenite	0.0
dsmz_498_composition	Na2WO4 2-hydrate	Na2WO4	CHEBI:77885	sodium tungstate	na2tungstate	sodium tungstate	0.0
dsmz_54a_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_547_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_498_composition	CoSO4 7-hydrate	CoSO4	CHEBI:53470	cobalt(2+) sulfate	coso4	cobalt sulfate	0.0
dsmz_547_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_547_composition	MnCl2 4-hydrate	MnCl2	CHEBI:7773	manganese(2+) chloride	mncl2	manganese chloride	0.0
dsmz_547_composition	ZnSO4 7-hydrate	ZnSO4	CHEBI:35176	zinc sulfate	znso4	zinc sulfate	0.0
dsmz_744_composition	NaCl	NaCl	CHEBI:26710	sodium chloride	nacl	sodium chloride	0.0
dsmz_744_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_744_composition	CaCl2	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_744_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_579_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_579_composition	KCl	KCl	CHEBI:32588	potassium chloride	kcl	potassium chloride	0.0
dsmz_579_composition	NaHCO3	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	nahydrogencarbonate	sodium hydrogencarbonate	0.0
dsmz_547_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_579_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_498_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_498_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_643_composition	NH4Cl	NH4Cl	CHEBI:31206	ammonium chloride	nh4cl	ammonium chloride	0.0
dsmz_643_composition	MgCl2 7-hydrate	MgCl2	CHEBI:6636	magnesium chloride	mgcl2	magnesium chloride	0.0
dsmz_643_composition	CaCl2 2-hydrate	CaCl2	CHEBI:3312	calcium chloride	cacl2	calcium chloride	0.0
dsmz_643_composition	Na2S 9-hydrate	Na2S	CHEBI:75769	sodium sulfide	na2s	sodium sulfide	0.0
dsmz_643_composition	MgSO4 7-hydrate	MgSO4	CHEBI:32599	magnesium sulfate	mgso4	magnesium sulfate	0.0
dsmz_643_composition	MnSO4 x H2O	MnSO4	CHEBI:75211	manganese(2+) sulfate	mnso4	manganese sulfate	0.0
dsmz_643_composition	FeSO4 7-hydrate	FeSO4	CHEBI:75832	iron(2+) sulfate	feso4	iron sulfate	0.0
dsmz_643_composition	CoSO4 7-hydrate	CoSO4	CHEBI:53470	cobalt(2+) sulfate	coso4	cobalt sulfate	0.0
