medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source
dsmz_1247_composition	Tryptone	CAS-RN:84843-69-6	6.0		g/L			json
dsmz_1247_composition	Medium may be solidified with 15.0 g/l agar. pH 7.0		1000.0		ml/L			json
dsmz_1247_composition	solidified		15.0		g/L			json
dsmz_1044_composition	Yeast extract	CAS-RN:8013-01-2	5.0		g/L			json
dsmz_1641_composition	Yeast extract	CAS-RN:8013-01-2	1.0		g/L			json
dsmz_1641_composition	Proteose Peptone		1.0		g/L			json
dsmz_1641_composition	MgSO4 7-hydrate		1.0		g/L			json
dsmz_1442_composition	Yeast extract	CAS-RN:8013-01-2	2.0		g/L			json
dsmz_1442_composition	0.1M Tris/HCl at pH 7.5		0.25		g/L			json
dsmz_1442_composition	For agar plates increase the pH of the Tris/HCl buffer to 8.5.		50.0		ml/L			json
dsmz_1442_composition	Thiamine-HCl 2-hydrate		18.0		g/L			json
dsmz_1442_composition	MgCl2 6-hydrate		4.0		mg/L			json
ccap_ANT_composition	EDTA.Na2 2-hydrate							json
ccap_ANT_composition	ZnSO4 7-hydrate							json
ccap_ANT_composition	CuSO4 5-hydrate							json
dsmz_1545_composition	K2HPO4 3-hydrate		0.6		g/L			json
dsmz_1545_composition	MgSO4 7-hydrate		0.2		g/L			json
dsmz_1545_composition	Yeast extract	CAS-RN:8013-01-2	2.5		g/L			json
dsmz_1340_composition	KH2PO4	PubChem:23710200	0.3		g/L			json
dsmz_1340_composition	MgCl2 7-hydrate		0.5		g/L			json
dsmz_1340_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_1340_composition	MgSO4 7-hydrate		1000.0		ml/L			json
dsmz_1340_composition	MnSO4 x H2O	ingredient:1000	1.5		g/L			json
dsmz_1340_composition	FeSO4 7-hydrate		0.5		g/L			json
dsmz_1340_composition	CoSO4 7-hydrate		1.0		g/L			json
dsmz_1340_composition	ZnSO4 7-hydrate		0.18		g/L			json
dsmz_1340_composition	CuSO4 5-hydrate		0.1		g/L			json
dsmz_1340_composition	Na2MoO4 2-hydrate		0.01		g/L			json
dsmz_1340_composition	NiCl2 6-hydrate		0.02		g/L			json
dsmz_1340_composition	Na2SeO3 5-hydrate		0.01		g/L			json
dsmz_1340_composition	MgCl2 6-hydrate							json
dsmz_1340_composition	Yeast Extract	CAS-RN:8013-01-2						json
dsmz_1340_composition	Cysteine-HCl	ingredient:983						json
dsmz_967_composition	KH2PO4	PubChem:23710200	15.3		mg/L			json
dsmz_967_composition	Na2MoO4 2-hydrate		2.5		mg/L			json
dsmz_967_composition	Trace elements solution	solution:6129	1.0		ml/L			json
dsmz_967_composition	dispensing		16.0		mM			json
dsmz_967_composition	2 g/l agar (semi-solid) and dispensing the medium into 10 ml portions in 16 mm							json
dsmz_967_composition	MnCl2 4-hydrate							json
dsmz_967_composition	ZnSO4 7-hydrate							json
dsmz_967_composition	CuSO4 5-hydrate							json
dsmz_967_composition	DSM 104091 may be grown in the presence of 0.5% glucose instead of cellulose.							json
dsmz_1143_composition	Tryptone	CAS-RN:84843-69-6	5.0		g/L			json
dsmz_1143_composition	Yeast extract	CAS-RN:8013-01-2	3.0		g/L			json
dsmz_1143_composition	CaCl2 2-hydrate		0.9		g/L			json
dsmz_959_composition	MgCl2 6-hydrate		0.5		g/L			json
dsmz_959_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_959_composition	KH2PO4	PubChem:23710200	0.35		g/L			json
dsmz_959_composition	Yeast extract	CAS-RN:8013-01-2	2.72		g/L			json
dsmz_959_composition	Trypticase peptone		2.0		g/L			json
dsmz_959_composition	Sodium resazurin	CAS-RN:62758-13-8	2.0		g/L			json
dsmz_959_composition	Na2S 9-hydrate		0.5		ml/L			json
ccap_NCL_PJ_composition	(1) CaCl2 2-hydrate							json
ccap_NCL_PJ_composition	(3) MgSO4 7-hydrate							json
dsmz_981_composition	MgCl2 6-hydrate		9.0		g/L			json
dsmz_981_composition	MgSO4 7-hydrate		0.15		g/L			json
dsmz_981_composition	CaCl2 2-hydrate		0.3		g/L			json
dsmz_981_composition	KH2PO4	PubChem:23710200	0.42		g/L			json
dsmz_981_composition	SrCl2 6-hydrate		0.05		g/L			json
dsmz_981_composition	Selenite-tungstate solution	ingredient:88	1.01		g/L			json
dsmz_981_composition	Yeast extract	CAS-RN:8013-01-2	1.0		ml/L			json
dsmz_981_composition	L-Cysteine HCl x H2O	ingredient:983	0.1		g/L			json
dsmz_981_composition	FeCl2 4-hydrate							json
dsmz_981_composition	MnCl2 4-hydrate							json
dsmz_981_composition	CoCl2 6-hydrate							json
dsmz_981_composition	CuCl2 2-hydrate							json
dsmz_981_composition	NiCl2 6-hydrate							json
dsmz_981_composition	Na2MoO4 2-hydrate							json
dsmz_981_composition	Na2SeO3 5-hydrate							json
dsmz_981_composition	Na2WO4 2-hydrate							json
dsmz_1398_composition	Yeast extract	CAS-RN:8013-01-2	75.0		ml/L			json
dsmz_1398_composition	L-cysteine HCl	PubChem:5862	1.0		g/L			json
dsmz_1398_composition	0.1% Resazurin		0.5		mg/L			json
dsmz_1398_composition	SII	solution:5699						json
dsmz_1398_composition	KH2PO4	PubChem:23710200						json
dsmz_1398_composition	MgSO4 7-hydrate							json
dsmz_1398_composition	CaCl2 2-hydrate							json
dsmz_1398_composition	100x Vitamin solution	solution:2835						json
dsmz_1398_composition	Thiamine-HCl 2-hydrate							json
dsmz_78c_composition	Casein peptone		500.0		g/L			json
dsmz_78c_composition	Yeast extract	CAS-RN:8013-01-2	25.0		ml/L			json
dsmz_78c_composition	Sodium resazurin	CAS-RN:62758-13-8	5.0		g/L			json
dsmz_78c_composition	L-Cysteine HCl x H2O	ingredient:983	5.0		g/L			json
dsmz_763_composition	KH2PO4	PubChem:23710200						json
dsmz_763_composition	Yeast extract	CAS-RN:8013-01-2						json
dsmz_763_composition	Na2S2O3 5-hydrate							json
dsmz_166_composition	MgSO4 7-hydrate		1.0		g/L			json
dsmz_166_composition	NaH2PO4 x H2O		0.2		g/L			json
dsmz_166_composition	Trace element solution	solution:6187	1.55		g/L			json
dsmz_158_composition	KH2PO4	PubChem:23710200	1.32		g/L			json
dsmz_158_composition	MgSO4 7-hydrate		0.372		g/L			json
dsmz_158_composition	CaCl2 2-hydrate		0.247		g/L			json
dsmz_158_composition	Yeast extract	CAS-RN:8013-01-2	0.074		g/L			json
dsmz_158_composition	FeCl3 6-hydrate							json
dsmz_158_composition	MnCl2 4-hydrate							json
dsmz_158_composition	Na2B4O7 10-hydrate							json
dsmz_158_composition	ZnSO4 7-hydrate							json
dsmz_158_composition	CuCl2 2-hydrate							json
dsmz_158_composition	Na2MoO4 2-hydrate							json
dsmz_158_composition	VOSO4 5-hydrate							json
dsmz_158_composition	CoSO4 7-hydrate							json
dsmz_600b_composition	Peptone	CAS-RN:73049-73-7	0.75		g/L			json
dsmz_600b_composition	Yeast extract	CAS-RN:8013-01-2	0.75		g/L			json
dsmz_600b_composition	0.1 M Tris/HCl buffer pH 7.5		10.0		ml/L			json
dsmz_600b_composition	Thiamine-HCl 2-hydrate		50.0		ml/L			json
dsmz_600b_composition	MgCl2 6-hydrate		10.0		mg/L			json
dsmz_600b_composition	For agar plates increase the pH of the Tris/HCl buffer to 8.5.							json
dsmz_365_composition	Yeast extract	CAS-RN:8013-01-2	10.0		g/L			json
dsmz_383_composition	beginning		30.0		ml/L			json
dsmz_383_composition	ml of a sterile anoxic stock solution of MgCl2 6-hydrate (40% w/v). Store the indole-salt							json
dsmz_383_composition	g/l yeast extract.							json
dsmz_383_composition	yeast extract.	CAS-RN:8013-01-2						json
dsmz_383_composition	KH2PO4	PubChem:23710200						json
dsmz_383_composition	MgCl2 6-hydrate							json
dsmz_383_composition	CaCl2 2-hydrate							json
dsmz_383_composition	Selenite-tungstate solution	ingredient:88						json
dsmz_383_composition	Sodium resazurin	CAS-RN:62758-13-8						json
dsmz_383_composition	Na2S 9-hydrate							json
dsmz_383_composition	Na2SeO3 5-hydrate							json
dsmz_383_composition	Na2WO4 2-hydrate							json
dsmz_383_composition	FeCl2 4-hydrate							json
dsmz_383_composition	MnCl2 4-hydrate							json
dsmz_383_composition	CoCl2 6-hydrate							json
dsmz_383_composition	CuCl2 2-hydrate							json
dsmz_383_composition	NiCl2 6-hydrate							json
dsmz_383_composition	Na2MoO4 2-hydrate							json
ccap_SNA_composition	SNA	medium:C95						json
ccap_SNA_composition	Nutrient Agar	ingredient:2364						json
dsmz_586_composition	KH2PO4	PubChem:23710200	0.816		g/L			json
dsmz_586_composition	MgSO4 7-hydrate		0.53		g/L			json
dsmz_586_composition	CaCl2 2-hydrate		2.0		g/L			json
dsmz_586_composition	FeCl2 4-hydrate							json
dsmz_586_composition	MnCl2 4-hydrate							json
dsmz_586_composition	CoCl2 6-hydrate							json
dsmz_586_composition	CuCl2 2-hydrate							json
dsmz_586_composition	NiCl2 6-hydrate							json
dsmz_586_composition	Na2MoO4 2-hydrate							json
dsmz_586_composition	Thiamine-HCl 2-hydrate							json
dsmz_785_composition	Peptone	CAS-RN:73049-73-7	5.0		g/L			json
dsmz_785_composition	Yeast extract	CAS-RN:8013-01-2	5.0		g/L			json
dsmz_785_composition	KH2PO4	PubChem:23710200	1.0		g/L			json
dsmz_785_composition	MgSO4 7-hydrate		0.2		g/L			json
dsmz_481_composition	Yeast extract	CAS-RN:8013-01-2	2.0		g/L			json
dsmz_481_composition	MgCl2 6-hydrate		2.0		g/L			json
dsmz_481_composition	CaCl2 2-hydrate		1.0		g/L			json
dsmz_481_composition	Modified Wolin's mineral solution	solution:241	0.4		g/L			json
dsmz_481_composition	Sodium resazurin	CAS-RN:62758-13-8	10.0		ml/L			json
dsmz_481_composition	Na2S 9-hydrate		1.5		g/L			json
dsmz_481_composition	MgSO4 7-hydrate							json
dsmz_481_composition	MnSO4 x H2O	ingredient:1000						json
dsmz_481_composition	FeSO4 7-hydrate							json
dsmz_481_composition	CoSO4 7-hydrate							json
dsmz_481_composition	ZnSO4 7-hydrate							json
dsmz_481_composition	CuSO4 5-hydrate							json
dsmz_481_composition	Na2MoO4 2-hydrate							json
dsmz_481_composition	NiCl2 6-hydrate							json
dsmz_481_composition	Na2SeO3 5-hydrate							json
dsmz_481_composition	Na2WO4 2-hydrate							json
dsmz_284_composition	CaCl2 2-hydrate		0.14		g/L			json
dsmz_284_composition	MgSO4 7-hydrate		3.4		g/L			json
dsmz_284_composition	MgCl2 6-hydrate		4.1		g/L			json
dsmz_284_composition	Modified Wolin's mineral solution	solution:241	30.0		g/L			json
dsmz_284_composition	Sodium resazurin	CAS-RN:62758-13-8	0.01		g/L			json
dsmz_284_composition	Yeast extract	CAS-RN:8013-01-2	0.5		ml/L			json
dsmz_284_composition	L-Cysteine HCl x H2O	ingredient:983	1.5		g/L			json
dsmz_284_composition	Na2S 9-hydrate		1.0		g/L			json
dsmz_28b_composition	Na2S2O3 5-hydrate		0.05		g/L			json
dsmz_28b_composition	MgCl 6-hydrate		0.25		g/L			json
dsmz_262_composition	262. J - AGAR		5.0		g/L			json
dsmz_262_composition	Tryptone	CAS-RN:84843-69-6	15.0		g/L			json
dsmz_262_composition	Yeast extract	CAS-RN:8013-01-2	2.0		g/L			json
dsmz_467_composition	Peptone	CAS-RN:73049-73-7	7.5		g/L			json
dsmz_467_composition	Meat extract	ingredient:2	5.0		g/L			json
dsmz_467_composition	Yeast extract	CAS-RN:8013-01-2	2.5		g/L			json
ccap_ASWP_composition	NaNO3	CAS-RN:7631-99-4						json
ccap_EG_composition	Tryptone	CAS-RN:84843-69-6						json
ccap_EG_composition	Yeast extract	CAS-RN:8013-01-2						json
dsmz_664_composition	KH2PO4	PubChem:23710200	0.3		g/L			json
dsmz_664_composition	MgCl2 6-hydrate		0.2		g/L			json
dsmz_664_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_664_composition	Modified Wolin's mineral solution	solution:241	10.0		ml/L			json
dsmz_664_composition	Yeast extract	CAS-RN:8013-01-2	5.0		g/L			json
dsmz_664_composition	Trypticase peptone		5.0		g/L			json
dsmz_664_composition	Sodium resazurin	CAS-RN:62758-13-8	0.5		ml/L			json
dsmz_664_composition	Na2S2O3 5-hydrate		5.0		g/L			json
dsmz_664_composition	L-Cysteine HCl x H2O	ingredient:983	0.5		g/L			json
dsmz_664_composition	Na2S 9-hydrate		0.5		g/L			json
dsmz_664_composition	MgSO4 7-hydrate							json
dsmz_664_composition	MnSO4 x H2O	ingredient:1000						json
dsmz_664_composition	FeSO4 7-hydrate							json
dsmz_664_composition	CoSO4 7-hydrate							json
dsmz_664_composition	ZnSO4 7-hydrate							json
dsmz_664_composition	CuSO4 5-hydrate							json
dsmz_664_composition	Na2MoO4 2-hydrate							json
dsmz_664_composition	NiCl2 6-hydrate							json
dsmz_664_composition	Na2SeO3 5-hydrate							json
dsmz_664_composition	Na2WO4 2-hydrate							json
dsmz_459_composition	459. SUCROSE-PEPTONE-MEDIUM		20.0		g/L			json
dsmz_459_composition	Peptone	CAS-RN:73049-73-7	20.0		g/L			json
dsmz_505_composition	Na2CO3, if necessary.							json
dsmz_505_composition	KH2PO4	PubChem:23710200						json
dsmz_505_composition	MgCl2 6-hydrate							json
dsmz_505_composition	CaCl2 2-hydrate							json
dsmz_505_composition	Sodium resazurin	CAS-RN:62758-13-8						json
dsmz_505_composition	Selenite-tungstate solution	ingredient:88						json
dsmz_505_composition	Na2S 9-hydrate							json
dsmz_505_composition	FeCl2 4-hydrate							json
dsmz_505_composition	MnCl2 4-hydrate							json
dsmz_505_composition	CoCl2 6-hydrate							json
dsmz_505_composition	CuCl2 2-hydrate							json
dsmz_505_composition	NiCl2 6-hydrate							json
dsmz_505_composition	Na2MoO4 2-hydrate							json
dsmz_505_composition	Na2SeO3 5-hydrate							json
dsmz_505_composition	Na2WO4 2-hydrate							json
dsmz_738_composition	Na2HPO4 2-hydrate							json
dsmz_738_composition	Na2H2PO4 x H2O							json
dsmz_738_composition	MgCl2 6-hydrate							json
dsmz_738_composition	CaCl2 2-hydrate							json
dsmz_738_composition	FeSO4 7-hydrate							json
dsmz_300_composition	biotin or 1.0 g/l of yeast extract.							json
dsmz_1526a_composition	MgCl2 6-hydrate		6.0		g/L			json
dsmz_1526a_composition	CaCl2 2-hydrate		0.4		g/L			json
dsmz_1526a_composition	Modified Wolin's mineral solution	solution:241	10.0		ml/L			json
dsmz_1526a_composition	Sodium resazurin	CAS-RN:62758-13-8	0.5		ml/L			json
dsmz_1526a_composition	L-Cysteine HCl x H2O	ingredient:983	1.0		ml/L			json
dsmz_1526a_composition	Na2S 9-hydrate		0.5		g/L			json
dsmz_1526a_composition	MgSO4 7-hydrate							json
dsmz_1526a_composition	MnSO4 x H2O	ingredient:1000						json
dsmz_1526a_composition	FeSO4 7-hydrate							json
dsmz_1526a_composition	CoSO4 7-hydrate							json
dsmz_1526a_composition	ZnSO4 7-hydrate							json
dsmz_1526a_composition	CuSO4 5-hydrate							json
dsmz_1526a_composition	Na2MoO4 2-hydrate							json
dsmz_1526a_composition	NiCl2 6-hydrate							json
dsmz_1526a_composition	Na2SeO3 5-hydrate							json
dsmz_1526a_composition	Na2WO4 2-hydrate							json
dsmz_27_composition	Yeast extract	CAS-RN:8013-01-2	0.3		g/L			json
dsmz_27_composition	KH2PO4	PubChem:23710200	1.0		g/L			json
dsmz_27_composition	MgSO4 7-hydrate		0.5		g/L			json
dsmz_27_composition	CaCl2 2-hydrate		0.4		g/L			json
dsmz_27_composition	ZnSO4 7-hydrate							json
dsmz_27_composition	MnCl2 4-hydrate							json
dsmz_27_composition	CoCl2 6-hydrate							json
dsmz_27_composition	CuCl2 2-hydrate							json
dsmz_27_composition	NiCl2 6-hydrate							json
dsmz_27_composition	Na2MoO4 2-hydrate							json
ccap_f2Si_heterotrophic_composition	CuSO4 5-hydrate							json
ccap_f2Si_heterotrophic_composition	ZnSO4 7-hydrate							json
ccap_f2Si_heterotrophic_composition	NaNO3	CAS-RN:7631-99-4						json
ccap_f2Si_heterotrophic_composition	1) 0.5g / litre yeast extract and							json
ccap_f2Si_heterotrophic_composition	5g / litre glucose							json
ccap_f2Si_heterotrophic_composition	2) 0.5g / litre yeast extract and							json
dsmz_207_composition	KH2PO4	PubChem:23710200	0.3		g/L			json
dsmz_207_composition	Na2HPO4 12-hydrate		2.1		g/L			json
dsmz_207_composition	MgCl2 6-hydrate		0.2		g/L			json
dsmz_207_composition	FeSO4 7-hydrate		10.0		ml/L			json
dsmz_207_composition	Yeast extract	CAS-RN:8013-01-2	1.0		mg/L			json
dsmz_207_composition	Na2S 9-hydrate		4.0		g/L			json
dsmz_239_composition	MgSO4 7-hydrate		0.2		g/L			json
dsmz_601_composition	Yeast extract	CAS-RN:8013-01-2	3.0		g/L			json
dsmz_601_composition	Proteose peptone		10.0		g/L			json
dsmz_402_composition	CaCl2 2-hydrate		0.25		g/L			json
dsmz_402_composition	MgSO4 7-hydrate		0.5		g/L			json
dsmz_402_composition	Yeast extract	CAS-RN:8013-01-2	0.2		g/L			json
dsmz_402_composition	KH2PO4	PubChem:23710200	5.0		g/L			json
dsmz_402_composition	extract		2.0		g/L			json
dsmz_465g_composition	WITH CYANURIC ACID							json
dsmz_142a_composition	MgSO4 7-hydrate		1.0		g/L			json
dsmz_142a_composition	CaCl2 2-hydrate		1.5		g/L			json
dsmz_142a_composition	Na2S2O3 5-hydrate		1.0		ml/L			json
dsmz_142a_composition	Seven vitamins solution	solution:4611	4.0		ml/L			json
dsmz_142a_composition	medium to 7.6 with a sterile 5% (w/v) Na2CO3 solution.							json
dsmz_142a_composition	FeCl2 4-hydrate							json
dsmz_142a_composition	MnCl2 4-hydrate							json
dsmz_142a_composition	CoCl2 6-hydrate							json
dsmz_142a_composition	CuCl2 2-hydrate							json
dsmz_142a_composition	NiCl2 6-hydrate							json
dsmz_142a_composition	Na2MoO4 2-hydrate							json
dsmz_142a_composition	Thiamine-HCl 2-hydrate							json
dsmz_1021_composition	Yeast extract	CAS-RN:8013-01-2	6.2		g/L			json
dsmz_1021_composition	Casein hydrolysate		8.1		g/L			json
dsmz_1021_composition	MgCl2 6-hydrate		0.12		g/L			json
dsmz_1021_composition	CaCl2 2-hydrate		0.25		g/L			json
dsmz_1021_composition	NaH2PO4 2-hydrate		900.0		ml/L			json
dsmz_1222_composition	KH2PO4	PubChem:23710200	0.5		g/L			json
dsmz_1222_composition	CaCl2 2-hydrate		0.15		g/L			json
dsmz_1222_composition	MgSO4 7-hydrate		1.0		g/L			json
dsmz_1222_composition	FeCl2 4-hydrate		1.0		ml/L			json
dsmz_1222_composition	CoCl2 6-hydrate		1.0		ml/L			json
dsmz_1222_composition	MnCl2 2-hydrate		1000.0		ml/L			json
dsmz_1222_composition	NiCl2 6-hydrate		5.2		g/L			json
dsmz_1222_composition	Na2MoO4 2-hydrate		1.5		g/L			json
dsmz_1222_composition	CuCl2 2-hydrate		100.0		mg/L			json
dsmz_805_composition	MgSO4 7-hydrate		0.1		g/L			json
dsmz_805_composition	Na2HPO4 2-hydrate		7.9		g/L			json
dsmz_805_composition	2% FeSO4 7-hydrate		1.0		ml/L			json
dsmz_1419_composition	KH2PO4	PubChem:23710200	1.36		g/L			json
dsmz_1419_composition	Na2HPO4 2-hydrate		2.68		g/L			json
dsmz_1419_composition	MgSO4 7-hydrate		3.38		g/L			json
dsmz_1419_composition	Bacto Peptone	CAS-RN:51142-18-8	50.0		ml/L			json
dsmz_1419_composition	CaCl2 2-hydrate							json
dsmz_1419_composition	FeSO4 7-hydrate							json
dsmz_1419_composition	MnSO4 x H2O	ingredient:1000						json
dsmz_1419_composition	Na2MoO4 2-hydrate							json
dsmz_1419_composition	ZnSO4 7-hydrate							json
dsmz_1419_composition	CuSO4 5-hydrate							json
dsmz_1419_composition	Na2B4O7 10-hydrate							json
dsmz_1419_composition	Thiamine-HCl 2-hydrate							json
dsmz_1419_composition	Vitamin Solution	solution:6241						json
dsmz_1624_composition	KH2PO4	PubChem:23710200	1.0		g/L			json
dsmz_1624_composition	MgSO4 7-hydrate		0.22		g/L			json
dsmz_1520_composition	MgSO4 7-hydrate		20.0		g/L			json
dsmz_1520_composition	Yeast extract	CAS-RN:8013-01-2	1.0		g/L			json
dsmz_1520_composition	Agar, if necessary		7.5		g/L			json
dsmz_1126_composition	KH2PO4	PubChem:23710200	1.0		g/L			json
dsmz_1126_composition	FeCl3 6-hydrate		0.01		g/L			json
dsmz_1126_composition	CoCl2 6-hydrate		0.2		mg/L			json
dsmz_1126_composition	MnCl2 4-hydrate		0.2		mg/L			json
dsmz_1126_composition	H3BO2		0.8		mg/L			json
dsmz_1126_composition	Na2MoO4 2-hydrate		0.1		mg/L			json
dsmz_1126_composition	NiCl2 6-hydrate		0.1		mg/L			json
dsmz_1126_composition	Na-citrate	CAS-RN:6132-04-3	0.2		mg/L			json
dsmz_902_composition	MgSO4 7-hydrate		3.9		g/L			json
dsmz_902_composition	CaCl2 2-hydrate		0.4		g/L			json
dsmz_902_composition	Yeast extract	CAS-RN:8013-01-2	0.05		g/L			json
dsmz_902_composition	Sodium resazurin	CAS-RN:62758-13-8	1.0		ml/L			json
dsmz_902_composition	L-Cysteine HCl x H2O	ingredient:983	0.5		g/L			json
dsmz_902_composition	Na2S 9-hydrate		2.5		g/L			json
dsmz_902_composition	FeCl2 4-hydrate							json
dsmz_902_composition	MnCl2 4-hydrate							json
dsmz_902_composition	CoCl2 6-hydrate							json
dsmz_902_composition	CuCl2 2-hydrate							json
dsmz_902_composition	NiCl2 6-hydrate							json
dsmz_902_composition	Na2MoO4 2-hydrate							json
dsmz_1325_composition	Yeast extract	CAS-RN:8013-01-2						json
dsmz_1325_composition	Peptone	CAS-RN:73049-73-7						json
dsmz_1325_composition	KH2PO4	PubChem:23710200						json
dsmz_1325_composition	MgSO4 7-hydrate							json
dsmz_1325_composition	FeCl2 4-hydrate							json
dsmz_1325_composition	MnCl2 4-hydrate							json
dsmz_1325_composition	CoCl2 6-hydrate							json
dsmz_1325_composition	CuCl2 2-hydrate							json
dsmz_1325_composition	NiCl2 6-hydrate							json
dsmz_1325_composition	Na2MoO4 2-hydrate							json
dsmz_1118_composition	CaCl2 2-hydrate		3.0		g/L			json
dsmz_1118_composition	MgSO4 7-hydrate		0.7		g/L			json
dsmz_1118_composition	FeSO4 7-hydrate							json
dsmz_1118_composition	ZnSO4 7-hydrate							json
dsmz_1118_composition	MnCl2 4-hydrate							json
dsmz_1118_composition	CoCl2 6-hydrate							json
dsmz_1118_composition	CuCl2 2-hydrate							json
dsmz_1118_composition	NiCl2 6-hydrate							json
dsmz_1118_composition	Na2MoO4 2-hydrate							json
dsmz_1702_composition	Na-resazurin solution	solution:30	2.0		g/L			json
ccap_PJ_composition	(1) CaCl2 2-hydrate							json
ccap_PJ_composition	(3) MgSO4 7-hydrate							json
dsmz_1501_composition	MgSO4 6-hydrate		10.0		g/L			json
dsmz_1501_composition	CaCl2 2-hydrate		2.0		g/L			json
dsmz_1501_composition	Solution 2 (Fe EDTA):	solution:5715						json
dsmz_1501_composition	Fe EDTA	solution:6243						json
dsmz_1501_composition	Na2MoO4 2-hydrate							json
dsmz_1501_composition	CuSO4 5-hydrate							json
dsmz_1501_composition	FeSO4 7-hydrate							json
dsmz_1501_composition	ZnSO4 7-hydrate							json
dsmz_1501_composition	CoCl2 6-hydrate							json
dsmz_1501_composition	MnCl2 4-hydrate							json
dsmz_1501_composition	NiCl2 6-hydrate							json
dsmz_1501_composition	Na2HPO4 12-hydrate							json
dsmz_1501_composition	KH2PO4	PubChem:23710200						json
dsmz_1139_composition	Tryptone	CAS-RN:84843-69-6	5.0		g/L			json
dsmz_1139_composition	Yeast extract	CAS-RN:8013-01-2	5.0		g/L			json
dsmz_1139_composition	MgSO4 7-hydrate		40.0		ml/L			json
dsmz_1139_composition	KH2PO4	PubChem:23710200	0.2		g/L			json
dsmz_1304_composition	MgCl2 6-hydrate		0.2		g/L			json
dsmz_1304_composition	CaCl2 2-hydrate		0.1		g/L			json
dsmz_1304_composition	NaNO3	CAS-RN:7631-99-4	1.7		g/L			json
dsmz_1304_composition	KH2PO4	PubChem:23710200	0.1		g/L			json
