medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l
ccap_2ASW_composition	Stock solution 3 (SE1)		1.0		g			json		0							unmapped	none	Stock solution 3 (SE1)	Stocksolution3(SE1)		Stocksolution3(SE1)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001		1.0		g			json		0							unmapped	none	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001	Tel:+44(0)1631559000Fax:+44(0)1631559001		Tel:+44(0)1631559000Fax:+44(0)1631559001					no_hydration	high		100.0	0.0	100.0	10.0
ccap_2ASW_composition	marine algae. , 25(4), 392–428. – adapted for CCAP		1.0		g			json		0							unmapped	none	marine algae. , 25(4), 392–428. – adapted for CCAP	marinealgae.,25(4),392–428.–adaptedforCCAP		marinealgae.,25(4),392–428.–adaptedforCCAP					no_hydration	high		100.0	0.0	100.0	10.0
ccap_3N_BBM_V_composition	(1)  NaNO3		0.004		g			json		0							unmapped	none	(1)  NaNO3	(1)NaNO3		(1)NaNO3					no_hydration	high		100.0	0.0	100.0	0.04
ccap_3N_BBM_V_composition	Approved: 30APR20		0.041		g			json		0							unmapped	none	Approved: 30APR20	Approved:30APR20		Approved:30APR20					no_hydration	high		100.0	0.0	100.0	0.41
ccap_3N_BBM_V_composition	QF 09		0.75		g			json		0							unmapped	none	QF 09	QF09		QF09					no_hydration	high		100.0	0.0	100.0	7.5
ccap_3N_BBM_V_composition	Revision: 001		0.097		g			json		0							unmapped	none	Revision: 001	Revision:001		Revision:001					no_hydration	high		100.0	0.0	100.0	0.97
ccap_3N_BBM_V_composition	Stocks		0.002		g			json		0							unmapped	none	Stocks	Stocks		Stocks					no_hydration	high		100.0	0.0	100.0	0.02
ccap_3N_BBM_V_composition	and Vitamins; modified)		0.005		g			json		0							unmapped	none	and Vitamins; modified)	andVitamins;modified)		andVitamins;modified)					no_hydration	high		100.0	0.0	100.0	0.05
ccap_ABM_composition	(1)  NaNO3		0.004		g			json		0							unmapped	none	(1)  NaNO3	(1)NaNO3		(1)NaNO3					no_hydration	high		100.0	0.0	100.0	0.04
ccap_ABM_composition	ABM (Acidic Bold-Basal Medium with Vitamins; modified)		0.005		g			json		0							unmapped	none	ABM (Acidic Bold-Basal Medium with Vitamins; modified)	ABM(AcidicBold-BasalMediumwithVitamins;modified)		ABM(AcidicBold-BasalMediumwithVitamins;modified)					no_hydration	high		100.0	0.0	100.0	0.05
ccap_ABM_composition	Approved: 30APR20		0.041		g			json		0							unmapped	none	Approved: 30APR20	Approved:30APR20		Approved:30APR20					no_hydration	high		100.0	0.0	100.0	0.41
ccap_ABM_composition	QF 09		0.75		g			json		0							unmapped	none	QF 09	QF09		QF09					no_hydration	high		100.0	0.0	100.0	7.5
ccap_ABM_composition	Revision: 001		0.097		g			json		0							unmapped	none	Revision: 001	Revision:001		Revision:001					no_hydration	high		100.0	0.0	100.0	0.97
ccap_ABM_composition	Stocks		0.002		g			json		0							unmapped	none	Stocks	Stocks		Stocks					no_hydration	high		100.0	0.0	100.0	0.02
ccap_AJS_composition	AJS (Acidified JM:SE)		1.0		ml			json		0							unmapped	none	AJS (Acidified JM:SE)	AJS(AcidifiedJM:SE)		AJS(AcidifiedJM:SE)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Antia NJ, Cheng JY & Taylor FJR (1969) Proc. Int. Seaweed Symp. 6, 17­29		1.0		g			json		0							unmapped	none	Antia NJ, Cheng JY & Taylor FJR (1969) Proc. Int. Seaweed Symp. 6, 17­29	AntiaNJ,ChengJY&TaylorFJR(1969)Proc.Int.SeaweedSymp.6,17­29		AntiaNJ,ChengJY&TaylorFJR(1969)Proc.Int.SeaweedSymp.6,17­29					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Antia NJ &  Kalmakoff  J (1965) Fish. Res.  Bd  Can.,  Manuscr. Rep. Ser. (Oceanogr.		1.0		g			json		0							unmapped	none	Antia NJ &  Kalmakoff  J (1965) Fish. Res.  Bd  Can.,  Manuscr. Rep. Ser. (Oceanogr.	AntiaNJ&KalmakoffJ(1965)Fish.Res.BdCan.,Manuscr.Rep.Ser.(Oceanogr.		AntiaNJ&KalmakoffJ(1965)Fish.Res.BdCan.,Manuscr.Rep.Ser.(Oceanogr.					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,		1.0		g			json		0							unmapped	none	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,	CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,		CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	CoSO4.7H2O		1.0		g			json		7							unmapped	none	CoSO4	CoSO4		CoSO4.7H2O					hydrate_pattern	high		100.0	126.105	226.105	4.422724
ccap_ANT_composition	Cyanocobalamin  (Vitamin B12)		1.0		g			json		0							unmapped	none	Cyanocobalamin  (Vitamin B12)	Cyanocobalamin(VitaminB12)		Cyanocobalamin(VitaminB12)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	EDTA.Na2.2H2O		1.0		g			json		2							unmapped	none	EDTA.Na2	EDTA.Na2		EDTA.Na2.2H2O					hydrate_pattern	high		100.0	36.03	136.03	7.35132
ccap_ANT_composition	Filtered natural seawater		1.0		g			json		0							unmapped	none	Filtered natural seawater	Filterednaturalseawater		Filterednaturalseawater					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Limnol.) No. 203		1.0		g			json		0							unmapped	none	Limnol.) No. 203	Limnol.)No.203		Limnol.)No.203					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Make up to  1 litre  with  distilled water  and  autoclave at 15  psi. Final  pH  should be		1.0		g			json		0							unmapped	none	Make up to  1 litre  with  distilled water  and  autoclave at 15  psi. Final  pH  should be	Makeupto1litrewithdistilledwaterandautoclaveat15psi.FinalpHshouldbe		Makeupto1litrewithdistilledwaterandautoclaveat15psi.FinalpHshouldbe					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	NaOH.  Store frozen.		1.0		g			json		0							unmapped	none	NaOH.  Store frozen.	NaOH.Storefrozen.		NaOH.Storefrozen.					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Oban, Argyll, PA37 1QA, UK		1.0		g			json		0							unmapped	none	Oban, Argyll, PA37 1QA, UK	Oban,Argyll,PA371QA,UK		Oban,Argyll,PA371QA,UK					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	References		1.0		g			json		0							unmapped	none	References	References		References					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001  Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk		1.0		g			json		0							unmapped	none	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001  Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk	Tel:+44(0)1631559000Fax:+44(0)1631559001Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk		Tel:+44(0)1631559000Fax:+44(0)1631559001Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ANT_composition	Trace metals stock solution (chelated) → Make up to		1.0		l			solution_expansion		0							unmapped	none	Trace metals stock solution (chelated) → Make up to	Tracemetalsstocksolution(chelated)→Makeupto	0.0	Tracemetalsstocksolution(chelated)→Makeupto				anhydrous	no_hydration	high	Make up to	100.0	0.0	100.0	10.0
ccap_ASWP_composition	"""Ultramarine Synthetica"" sea salts*"		1.0		g			json		0							unmapped	none	"""Ultramarine Synthetica"" sea salts*"	"""UltramarineSynthetica""seasalts*"		"""UltramarineSynthetica""seasalts*"					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	(2)  Soil Extract 2 (See SE2 recipe)		1.0		g			json		0							unmapped	none	(2)  Soil Extract 2 (See SE2 recipe)	(2)SoilExtract2(SeeSE2recipe)		(2)SoilExtract2(SeeSE2recipe)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	*Waterlife  Research  Industries  Ltd,  476  Bath  Road,  Longford,  West  Drayton,  Middlesex  UB7		1.0		g			json		0							unmapped	none	*Waterlife  Research  Industries  Ltd,  476  Bath  Road,  Longford,  West  Drayton,  Middlesex  UB7	*WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,MiddlesexUB7		*WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,MiddlesexUB7					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	0ED, UK. Tel (01753) 685696 Fax (01753) 685437 aquatics@waterlife.co.uk		1.0		g			json		0							unmapped	none	0ED, UK. Tel (01753) 685696 Fax (01753) 685437 aquatics@waterlife.co.uk	0ED,UK.Tel(01753)685696Fax(01753)685437aquatics@waterlife.co.uk		0ED,UK.Tel(01753)685696Fax(01753)685437aquatics@waterlife.co.uk					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Autoclave at 15 psi for 15 minutes.		1.0		g			json		0							unmapped	none	Autoclave at 15 psi for 15 minutes.	Autoclaveat15psifor15minutes.		Autoclaveat15psifor15minutes.					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	CCAP (Culture Collection of Algae and Protozoa), SAMS Ltd,		1.0		g			json		0							unmapped	none	CCAP (Culture Collection of Algae and Protozoa), SAMS Ltd,	CCAP(CultureCollectionofAlgaeandProtozoa),SAMSLtd,		CCAP(CultureCollectionofAlgaeandProtozoa),SAMSLtd,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk		1.0		g			json		0							unmapped	none	Email: ccap@sams.ac.uk  Web: www.ccap.ac.uk	Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk		Email:ccap@sams.ac.ukWeb:www.ccap.ac.uk					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	L. Provasoli; J. J. A. McLaughlin; M. R. Droop (1957). The development of artificial media for		1.0		g			json		0							unmapped	none	L. Provasoli; J. J. A. McLaughlin; M. R. Droop (1957). The development of artificial media for	L.Provasoli;J.J.A.McLaughlin;M.R.Droop(1957).Thedevelopmentofartificialmediafor		L.Provasoli;J.J.A.McLaughlin;M.R.Droop(1957).Thedevelopmentofartificialmediafor					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Reference		1.0		g			json		0							unmapped	none	Reference	Reference		Reference					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Reviewed: 17th January 2025		1.0		g			json		0							unmapped	none	Reviewed: 17th January 2025	Reviewed:17thJanuary2025		Reviewed:17thJanuary2025					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Scottish Marine Institute, Oban, Argyll, PA37 1QA, UK		1.0		g			json		0							unmapped	none	Scottish Marine Institute, Oban, Argyll, PA37 1QA, UK	ScottishMarineInstitute,Oban,Argyll,PA371QA,UK		ScottishMarineInstitute,Oban,Argyll,PA371QA,UK					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Stock solution 2 (SE2)		1.0		g			json		0							unmapped	none	Stock solution 2 (SE2)	Stocksolution2(SE2)		Stocksolution2(SE2)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001		1.0		g			json		0							unmapped	none	Tel: +44 (0)1631 559000  Fax: +44 (0)1631 559001	Tel:+44(0)1631559000Fax:+44(0)1631559001		Tel:+44(0)1631559000Fax:+44(0)1631559001					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASWP_composition	marine algae. , 25(4), 392–428. – adapted for CCAP		1.0		g			json		0							unmapped	none	marine algae. , 25(4), 392–428. – adapted for CCAP	marinealgae.,25(4),392–428.–adaptedforCCAP		marinealgae.,25(4),392–428.–adaptedforCCAP					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_150_composition	ASW 150		0.9		g			json		0							unmapped	none	ASW 150	ASW150		ASW150					no_hydration	high		100.0	0.0	100.0	9.0
ccap_ASW_150_composition	Approved: 30APR20		8.9		g			json		0							unmapped	none	Approved: 30APR20	Approved:30APR20		Approved:30APR20					no_hydration	high		100.0	0.0	100.0	89.0
ccap_ASW_150_composition	QF 09		136.0		g			json		0							unmapped	none	QF 09	QF09		QF09					no_hydration	high		100.0	0.0	100.0	1360.0
ccap_ASW_150_composition	Revision: 001		3.8		g			json		0							unmapped	none	Revision: 001	Revision:001		Revision:001					no_hydration	high		100.0	0.0	100.0	38.0
ccap_ASW_225_composition	"H2O

per 1000 cm 3"		212.6		g			json		0							unmapped	none	"H2O

per 1000 cm 3"	H2Oper1000cm3		H2Oper1000cm3					no_hydration	high		100.0	0.0	100.0	2126.0
ccap_ASW_300_composition	ASW 300		59.4		g			json		0							unmapped	none	ASW 300	ASW300		ASW300					no_hydration	high		100.0	0.0	100.0	594.0
ccap_ASW_300_composition	Approved: 30APR20		54.36		g			json		0							unmapped	none	Approved: 30APR20	Approved:30APR20		Approved:30APR20					no_hydration	high		100.0	0.0	100.0	543.6
ccap_ASW_300_composition	QF 09		243.2		g			json		0							unmapped	none	QF 09	QF09		QF09					no_hydration	high		100.0	0.0	100.0	2432.0
ccap_ASW_300_composition	Revision: 001		7.6		g			json		0							unmapped	none	Revision: 001	Revision:001		Revision:001					no_hydration	high		100.0	0.0	100.0	76.0
ccap_ASW_BG_composition	(1)  NaNO3		1.0		g			json		0							unmapped	none	(1)  NaNO3	(1)NaNO3		(1)NaNO3					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	(2)  K2HPO4		1.0		g			json		0							unmapped	none	(2)  K2HPO4	(2)K2HPO4		(2)K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	(2)  Soil Extract (SE1) - see recipe overleaf		1.0		g			json		0							unmapped	none	(2)  Soil Extract (SE1) - see recipe overleaf	(2)SoilExtract(SE1)-seerecipeoverleaf		(2)SoilExtract(SE1)-seerecipeoverleaf					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	(3)  MgSO4.7H2O		1.0		g			json		7							unmapped	none	(3)  MgSO4	(3)MgSO4		(3)MgSO4.7H2O					hydrate_pattern	high		100.0	126.105	226.105	4.422724
ccap_ASW_BG_composition	(4)  CaCl2.2H2O		1.0		g			json		2							unmapped	none	(4)  CaCl2	(4)CaCl2		(4)CaCl2.2H2O					hydrate_pattern	high		100.0	36.03	136.03	7.35132
ccap_ASW_BG_composition	(6)  Ammonium ferric citrate green		1.0		g			json		0							unmapped	none	(6)  Ammonium ferric citrate green	(6)Ammoniumferriccitrategreen		(6)Ammoniumferriccitrategreen					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	(7)  EDTANa2		1.0		g			json		0							unmapped	none	(7)  EDTANa2	(7)EDTANa2		(7)EDTANa2					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	(8)  Na2CO3		1.0		g			json		0							unmapped	none	(8)  Na2CO3	(8)Na2CO3		(8)Na2CO3					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	"*  Alternatively  use  ""Ultramarine  Synthetica""**  sea  salts  33.6  g  and make  up  to  1"		33.6		g			json		0							unmapped	none	"*  Alternatively  use  ""Ultramarine  Synthetica""**  sea  salts  33.6  g  and make  up  to  1"	"*Alternativelyuse""UltramarineSynthetica""**seasalts33.6gandmakeupto1"		"*Alternativelyuse""UltramarineSynthetica""**seasalts33.6gandmakeupto1"					no_hydration	high		100.0	0.0	100.0	336.0
ccap_ASW_BG_composition	**  Waterlife  Research  Industries  Ltd,  476  Bath  Road,  Longford,  West  Drayton,		1.0		g			json		0							unmapped	none	**  Waterlife  Research  Industries  Ltd,  476  Bath  Road,  Longford,  West  Drayton,	**WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,		**WaterlifeResearchIndustriesLtd,476BathRoad,Longford,WestDrayton,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	*Unipath Ltd, Wade Road, Basingstoke, Hants, RG24 0PW, UK		1.0		g			json		0							unmapped	none	*Unipath Ltd, Wade Road, Basingstoke, Hants, RG24 0PW, UK	*UnipathLtd,WadeRoad,Basingstoke,Hants,RG240PW,UK		*UnipathLtd,WadeRoad,Basingstoke,Hants,RG240PW,UK					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	1 litre or less for 15 minutes) and are then kept in a cool place (e.g. a refrigerator)		1.0		g			json		0							unmapped	none	1 litre or less for 15 minutes) and are then kept in a cool place (e.g. a refrigerator)	1litreorlessfor15minutes)andarethenkeptinacoolplace(e.g.arefrigerator)		1litreorlessfor15minutes)andarethenkeptinacoolplace(e.g.arefrigerator)					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	1N NaOH or 1N HCl. Autoclave at 15 psi.		1.0		g			json		0							unmapped	none	1N NaOH or 1N HCl. Autoclave at 15 psi.	1NNaOHor1NHCl.Autoclaveat15psi.		1NNaOHor1NHCl.Autoclaveat15psi.					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	A rich loam with good crumb structure should be sought.  Stones, roots and larger		1.0		g			json		0							unmapped	none	A rich loam with good crumb structure should be sought.  Stones, roots and larger	Arichloamwithgoodcrumbstructureshouldbesought.Stones,rootsandlarger		Arichloamwithgoodcrumbstructureshouldbesought.Stones,rootsandlarger					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,		1.0		g			json		0							unmapped	none	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,	CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,		CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,		1.0		g			json		0							unmapped	none	CCAP (Culture Collection of Algae and Protozoa), Dunstaffnage Marine Laboratory,	CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,		CCAP(CultureCollectionofAlgaeandProtozoa),DunstaffnageMarineLaboratory,					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	For agar add 15.0 g per litre of Bacteriological Agar (Oxoid L11)*.  Autoclave at 15		15.0		g			json		0							unmapped	none	For agar add 15.0 g per litre of Bacteriological Agar (Oxoid L11)*.  Autoclave at 15	Foragaradd15.0gperlitreofBacteriologicalAgar(OxoidL11)*.Autoclaveat15		Foragaradd15.0gperlitreofBacteriologicalAgar(OxoidL11)*.Autoclaveat15					no_hydration	high		100.0	0.0	100.0	150.0
ccap_ASW_BG_composition	Middlesex UB7 0ED, UK. Tel (01753) 685696 Fax (01753) 685437		1.0		g			json		0							unmapped	none	Middlesex UB7 0ED, UK. Tel (01753) 685696 Fax (01753) 685437	MiddlesexUB70ED,UK.Tel(01753)685696Fax(01753)685437		MiddlesexUB70ED,UK.Tel(01753)685696Fax(01753)685437					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	MnCl2.4H2O		1.0		g			json		4							unmapped	none	MnCl2	MnCl2		MnCl2.4H2O					hydrate_pattern	high		100.0	72.06	172.06	5.811926
ccap_ASW_BG_composition	Oban, Argyll, PA37 1QA, UK		1.0		g			json		0							unmapped	none	Oban, Argyll, PA37 1QA, UK	Oban,Argyll,PA371QA,UK		Oban,Argyll,PA371QA,UK					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	Oban, Argyll, PA37 1QA, UK		1.0		g			json		0							unmapped	none	Oban, Argyll, PA37 1QA, UK	Oban,Argyll,PA371QA,UK		Oban,Argyll,PA371QA,UK					no_hydration	high		100.0	0.0	100.0	10.0
ccap_ASW_BG_composition	Reference		1.0		g			json		0							unmapped	none	Reference	Reference		Reference					no_hydration	high		100.0	0.0	100.0	10.0
