original	mapped	chebi_label	chebi_formula
CoCl2 x 2 H2O	CHEBI:35696	cobalt dichloride	2Cl.Co
CoCl2 x 4 H2O	CHEBI:35696	cobalt dichloride	2Cl.Co
CoCl2	CHEBI:35696	cobalt dichloride	2Cl.Co
CoCl 2	CHEBI:35696	cobalt dichloride	2Cl.Co
CoCl2 x 6 H2O	CHEBI:35696	cobalt dichloride	2Cl.Co
trans-Cinnamic acid	CHEBI:35697	trans-cinnamic acid	C9H8O2
Na-crotonate	CHEBI:35899	crotonate	C4H5O2
Lactose	CHEBI:36218	beta-lactose	C12H22O11
H2WO4	CHEBI:36272	tungstic acid	H2O4W
SrCl	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl2	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl 2	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl2 x 6 H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2·6H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2.6H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2 x 6 H2O (0.1% w/v)	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
Na-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	C4H7O3
2-Methyl-butyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
α-Methylbutyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
DL-α-Methyl butyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
DL-2-Methyl butyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
2-Methylbutyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
Xylan	CHEBI:37166	xylan	
sodium phosphate dibasic	CHEBI:37583	trisodium phosphate	3Na.O4P
NaH2PO4	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4 x 2H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4·2H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
NaH2PO4 x 2 H2O	CHEBI:37585	sodium dihydrogenphosphate	H2O4P.Na
Na-ascorbate	CHEBI:38290	L-ascorbate	C6H7O6
Na2B4O7	CHEBI:38892		
MES acids	CHEBI:39005		
MES (2-[N-Morpholino]ethane sulfonic acid)	CHEBI:39005	2-(N-morpholino)ethanesulfonic acid	C6H13NO4S
MES (2-Morpholinoethanesulfonic acid)	CHEBI:39005	2-(N-morpholino)ethanesulfonic acid	C6H13NO4S
MES [2-(N-morpholino) ethane sulfonic acid]	CHEBI:39005	2-(N-morpholino)ethanesulfonic acid	C6H13NO4S
MES	CHEBI:39010	MES	
PIPES	CHEBI:39033	PIPES	
TES	CHEBI:39035	TES	
ACES	CHEBI:39061	ACES	
MOPS	CHEBI:39074	MOPS	
Crotonic acid	CHEBI:41131	crotonic acid	C4H6O2
Decane	CHEBI:41808	decane	C10H22
n-Decane	CHEBI:41808	decane	C10H22
DL-Dithiothreitol	CHEBI:42106	L-1,4-dithiothreitol	C4H10O2S2
D­glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
Glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
α-D-Glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
D-Glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
D-glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
D(+)-Glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
Dextrose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
α-Lipoic acid	CHEBI:43796	(S)-lipoic acid	C8H14O2S2
D,L-6,8-thioctic acid	CHEBI:43796	(S)-lipoic acid	C8H14O2S2
MEM	CHEBI:43968	meropenem	C17H25N3O5S
MOPS (3-(N-morpholino) propane-sulfonic acid)	CHEBI:44115	3-(N-morpholino)propanesulfonic acid	C7H15NO4S
MOPS buffer	CHEBI:44115		
Tris(hydroxymethyl)methylamine	CHEBI:44356	N-tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid	C6H15NO6S
Nitrilotriacetic Acid	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetate	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetic acid	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetic acid (NTA)	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Hexadecane	CHEBI:45296	hexadecane	C16H34
Tetramethyl ammonium	CHEBI:46020		
HEPES	CHEBI:46756	HEPES	
Ethylenediamintetraacetic acid (EDTA),	CHEBI:4735	ethylenediaminetetraacetic acid	C10H16N2O8
K-acetate	CHEBI:47622	acetate ester	C2H3O2R
Thioglycolate	CHEBI:47869	thioglycolate(2-)	C2H2O2S
D-Fructose	CHEBI:48095	keto-D-fructose	C6H12O6
LiCl	CHEBI:48607	lithium chloride	Cl.Li
Na2SeO3	CHEBI:48843	disodium selenite	2Na.O3Se
Na2SeO3 x 5 H2O	CHEBI:48843	disodium selenite	2Na.O3Se
Na2SeO3·5H2O	CHEBI:48843	disodium selenite	2Na.O3Se
Na2SeO3 x 5 H2O (0.01% w/v)	CHEBI:48843	disodium selenite	2Na.O3Se
H2SeO3	CHEBI:48854	sulfurous acid	H2O3S
Thiamin HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamin-HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine·HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine-HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine Dihydrochloride	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
CuCl2	CHEBI:49553	copper(II) chloride	Cl2Cu
Fe (III)citrate	CHEBI:4991	iron(III) dicitrate(3-)	C12H10FeO14
Fe(III) citrate	CHEBI:4991	iron(III) dicitrate(3-)	C12H10FeO14
ZnCl2	CHEBI:49976	zinc dichloride	2Cl.Zn
ZnCl 2	CHEBI:49976	zinc dichloride	2Cl.Zn
Sodium pyruvate	CHEBI:50144	sodium pyruvate	C3H3O3.Na
Sodium Pyruvate	CHEBI:50144	sodium pyruvate	C3H3O3.Na
1 M Sodium pyruvate*	CHEBI:50144	sodium pyruvate	C3H3O3.Na
Phenyl propionic acid	CHEBI:501520		
iso-Valeric acid	CHEBI:503742		
Hemin	CHEBI:50385	hemin	C34H32ClFeN4O4
Hemin chloride	CHEBI:50385	hemin	C34H32ClFeN4O4
Dextran	CHEBI:52071	dextran	
Gelatin	CHEBI:5291	gelatin	
Citric acid	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate·2H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate·3H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium Citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Tri-sodium citrate	CHEBI:53258	sodium citrate	C6H5O7.3Na
Trisodium citrate x 2 H2O	CHEBI:53258	sodium citrate	C6H5O7.3Na
Tween 60	CHEBI:53425	polysorbate 60	(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H46O6
Tween 80	CHEBI:53426	polysorbate 80	(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H44O6
CoSO4 x 7 H2O	CHEBI:53470	cobalt(2+) sulfate	Co.O4S
CoSO4	CHEBI:53470	cobalt(2+) sulfate	Co.O4S
CuCl	CHEBI:53472	copper(I) chloride	ClCu
L-Lysine HCl	CHEBI:53633		
Glycine	CHEBI:57305	glycine zwitterion	C2H5NO2
Biotin in	CHEBI:57586	biotinate	C10H15N2O3S
DL-Tryptophan	CHEBI:57912	L-tryptophan zwitterion	C11H12N2O2
Methylamine hydrochloride	CHEBI:59337	methylamine hydrochloride	CH6N.Cl
N-Acetylglucosamine	CHEBI:59640	N-acetylglucosamine	
(5)  Sodium metasilicate	CHEBI:60720	sodium silicate	2Na.O3Si
Sodium silicate	CHEBI:60720	sodium silicate	2Na.O3Si
(NH4)2SO4	CHEBI:62946	ammonium sulfate	2H4N.O4S
Ammonium Sulfate	CHEBI:62946	ammonium sulfate	2H4N.O4S
(NH4)2 SO4	CHEBI:62946	ammonium sulfate	2H4N.O4S
(NH4)2S4	CHEBI:62946	ammonium sulfate	2H4N.O4S
Ammonium acetate	CHEBI:62947	ammonium acetate	C2H3O2.H4N
Magnesium acetate	CHEBI:62964	magnesium acetate	2C2H3O2.Mg
Sodium formate	CHEBI:62965	sodium formate	CHO2.Na
(NH4)H2PO4	CHEBI:62982		
NH4H2PO4	CHEBI:62982		
NaBr	CHEBI:63004	sodium bromide	Br.Na
Sodium nitrate	CHEBI:63005	sodium nitrate	NO3.Na
Na NO3	CHEBI:63005		
NaNO3	CHEBI:63005		
Sodium tartrate	CHEBI:63017	sodium L-tartrate	C4H4O6.2Na
Monopotassium Phosphate	CHEBI:63036	potassium dihydrogen phosphate	H2O4P.K
potassium phosphate monobasic	CHEBI:63036	potassium dihydrogen phosphate	H2O4P.K
(NH4) citrate	CHEBI:63037		
(NH4)3 citrate	CHEBI:63037		
NH4NO3	CHEBI:63038		
(NH4)NO3	CHEBI:63038		
Diammonium Citrate	CHEBI:63076	diammonium citrate	C6H6O7.2H4N
(NH4)2 citrate	CHEBI:63076		
Diammonium hydrogen citrate	CHEBI:63076	diammonium citrate	C6H6O7.2H4N
Diammonium citrate	CHEBI:63076	diammonium citrate	C6H6O7.2H4N
EDTA di sodium salt	CHEBI:63125	EDTA trisodium salt	C10H13N2O8.3Na
BaCl2	CHEBI:63317	barium chloride	Ba.2Cl
Disodium succinate	CHEBI:63675	sodium succinate (anhydrous)	C4H4O4.2Na
Disodium succinate·6H2O	CHEBI:63675	sodium succinate (anhydrous)	C4H4O4.2Na
Sodium succinate	CHEBI:63675	sodium succinate (anhydrous)	C4H4O4.2Na
Na2WO4·2H2O	CHEBI:63939	sodium tungstate dihydrate	2H2O.2Na.O4W
NaWO4·2H2O	CHEBI:63939	sodium tungstate dihydrate	2H2O.2Na.O4W
Na2WO4 x 2 H2O (0.1% w/v)	CHEBI:63939	sodium tungstate dihydrate	2H2O.2Na.O4W
Na2WO4*2H2O	CHEBI:63939	sodium tungstate dihydrate	2H2O.2Na.O4W
Na2WO4	CHEBI:63940	sodium tungstate	2Na.O4W
Na2WO4 x 2H2O	CHEBI:63940	sodium tungstate	2Na.O4W
Na2WO4 x 2 H2O	CHEBI:63940	sodium tungstate	2Na.O4W
Sodium butyrate	CHEBI:64103	sodium butyrate	C4H7O2.Na
1 M Sodium butyrate	CHEBI:64103	sodium butyrate	C4H7O2.Na
Monosodium glutamate	CHEBI:64220	monosodium glutamate	C5H8NO4.Na
Sodium glutamate	CHEBI:64220	monosodium glutamate	C5H8NO4.Na
Sodium glutamate·H2O	CHEBI:64220	monosodium glutamate	C5H8NO4.Na
Methylamine-HCl	CHEBI:64700		
Trimethylamine·HCl	CHEBI:64700		
Trimethylamine-HCl	CHEBI:64700		
Na2-EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
NA2 EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
Na-EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
NaEDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
Na2 EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
Na3-EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
Na2EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
2Na-EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
EDTA	CHEBI:64755	EDTA(2-)	C10H14N2O8
Na2EDTA.2H2O	CHEBI:64758	EDTA disodium salt dihydrate	C10H14N2O8.2H2O.2Na
Na2EDTA·2H2O	CHEBI:64758	EDTA disodium salt dihydrate	C10H14N2O8.2H2O.2Na
NaClO3	CHEBI:65242		
D-Xylose	CHEBI:65327	D-xylose	C5H10O5
MgCl2 x 2 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2 x 7 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2 X 6H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCL2 x 6 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2 x 6H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2 x 6H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2x 6 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2 x 6 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2  x 76 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2  x 7 H2O	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl 2	CHEBI:6636	magnesium dichloride	2Cl.Mg
MgCl2	CHEBI:6636	magnesium dichloride	2Cl.Mg
Mg(NO3)2·6H2O	CHEBI:6637	magnesium dihydroxide	2HO.Mg
DL-Malic acid	CHEBI:6650	malic acid	C4H6O5
Malic Acid	CHEBI:6650	malic acid	C4H6O5
DL-malic acid	CHEBI:6650	malic acid	C4H6O5
Sodium dithionite	CHEBI:66870	sodium dithionite	2Na.O4S2
Methylene blue	CHEBI:6872	methylene blue	C16H18N3S.Cl
Sodium pyrophosphate	CHEBI:71240	sodium diphosphate	4Na.O7P2
KF	CHEBI:73605	Lys-Phe	C15H23N3O3
Na2MoO4 x H2O	CHEBI:75213		
NaMoO4 x 2 H2O	CHEBI:75213		
Na2MoO4-2H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na
Na2MoSO4 x 2 H2O	CHEBI:75213		
Na2MoO4*2H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na
Na2MoO4.2H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na
Na2MoO4*2 H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na
Na2MoO4·2H2O	CHEBI:75215	sodium molybdate (anhydrous)	MoO4.2Na
Na2MoO4 x 2H2O	CHEBI:75215	sodium molybdate (anhydrous)	MoO4.2Na
Na2MoO4 x 2 H2O	CHEBI:75215	sodium molybdate (anhydrous)	MoO4.2Na
Na2MoO4	CHEBI:75215	sodium molybdate (anhydrous)	MoO4.2Na
Na2MoO4 x 2 H2O (0.1% w/v)	CHEBI:75215	sodium molybdate (anhydrous)	MoO4.2Na
NaVO3	CHEBI:75221	sodium metavanadate	Na.O3V
Na-(DL)-lactate	CHEBI:75228		
Sodium lactate	CHEBI:75228	sodium lactate	C3H5O3.Na
1 M Sodium lactate	CHEBI:75228	sodium lactate	C3H5O3.Na
Na-DL-lactate	CHEBI:75228		
K2CrO4	CHEBI:75249		
Glycerol monostearate	CHEBI:75456	2-stearoylglycerol	C21H42O4
FeSO4 x 6H2O	CHEBI:75832	iron(2+) sulfate (anhydrous)	Fe.O4S
FeSO4	CHEBI:75832	iron(2+) sulfate (anhydrous)	Fe.O4S
FeSO4 x 7H2O	CHEBI:75832	iron(2+) sulfate (anhydrous)	Fe.O4S
FeSO4 x7 H2O	CHEBI:75832	iron(2+) sulfate (anhydrous)	Fe.O4S
FeSO4 x7H2O	CHEBI:75836	iron(2+) sulfate heptahydrate	Fe.7H2O.O4S
FeSO4.7H2O	CHEBI:75836	iron(2+) sulfate heptahydrate	Fe.7H2O.O4S
Fe(NH4)2(SO4)2 x 6H2O	CHEBI:76181		
Fe(NH4)2(SO4)2 x 6 H2O	CHEBI:76181		
Fe(NH4)2(SO4)2 x 6 H2O (0.1% w/v)	CHEBI:76181		
Fe(NH4)2(SO4)2·6H2O	CHEBI:76181		
Fe(NH4)2(SO4)2 x 7 H2O	CHEBI:76181		
Fe(NH4)2(SO4)2 x 6 H2O (2% v/v)	CHEBI:76181		
Fe(NH4)2(SO4)2 x 6 H2O (0.01% w/v)	CHEBI:76181		
Na2S	CHEBI:76208	sodium sulfide (anhydrous)	2Na.S
Na2S·9H2O	CHEBI:76209	sodium sulfide nonahydrate	9H2O.2Na.S
Na2S x 9 H2O(24% w/v)	CHEBI:76209	sodium sulfide nonahydrate	9H2O.2Na.S
Na2S x 9 H2O (3% w/v)	CHEBI:76209	sodium sulfide nonahydrate	9H2O.2Na.S
Na2S x 9 H2O	CHEBI:76209	sodium sulfide nonahydrate	9H2O.2Na.S
MnCl2	CHEBI:7773015		
MnCl	CHEBI:7773015		
Ca(NO3)2	CHEBI:77732	cadmium nitrate	Cd.2NO3
Trypticase	CHEBI:78018	dodecylphosphocholine	C17H38NO4P
Bacto-Tryptone	CHEBI:78018	dodecylphosphocholine	C17H38NO4P
Casmino acids	CHEBI:78020	heptacosanoate	C27H53O2
Casaminoacids	CHEBI:78020	heptacosanoate	C27H53O2
Casamino acid	CHEBI:78020	heptacosanoate	C27H53O2
Casmino Acid	CHEBI:78020	heptacosanoate	C27H53O2
Casamino acids	CHEBI:78020	heptacosanoate	C27H53O2
Casamino Acids	CHEBI:78020	heptacosanoate	C27H53O2
Casamino Acid	CHEBI:78020	heptacosanoate	C27H53O2
SnCl2·2H2O	CHEBI:78074	tin(II) chloride dihydrate	2Cl.2H2O.Sn
NaNO2	CHEBI:78870	sodium nitrite	NO2.Na
Pantothenic acid	CHEBI:7916	pantothenic acid	C9H17NO5
N-Acetyl-D-glucosamine	CHEBI:8006	Peptidoglycan(N-acetyl-D-glucosamine)	C34H60N8O18
Bacto Soytone	CHEBI:8150		
Soytone	CHEBI:8150		
KHCO3	CHEBI:81862	potassium hydrogencarbonate	CHO3.K
KI	CHEBI:8346	potassium iodide	I.K
Sodium gluconate	CHEBI:84997	sodium gluconate	C6H11O7.Na
Carboxymethyl cellulose	CHEBI:85146	carboxymethylcellulose	
Starch	CHEBI:85248	gellan gum	
G Starch	CHEBI:85248	gellan gum	
Fe(NH4)(SO4)2 x 12 H2O	CHEBI:85503	Fe(CO)2(CN)	C3FeNO2
(NH4)2Ni(SO4)2	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2•6H2O	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2·6H2O	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2 x 6 H2O (0.1% w/v)	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
BaCl2·2H2O	CHEBI:86153	barium chloride dihydrate	Ba.2Cl.2H2O
CaCl2 x2H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl 2 X 2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
Calcium Chloride	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x 2 H2O (50 g/l stock solution)	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x 2 H2O solution (7%)	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl22H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2x 2H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x  2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2·2H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
calcium chloride	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
Calcium chloride dihydrate	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCL2 x 2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x 2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2  x 2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x 2 H2O (5M)	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2x2H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl2 x 2 H2O (0.1% w/v)	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
CaCl 2 x 2 H2O	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O
Ca(NO3)2 x 4 H2O	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
(1)  Ca(NO3)2.4H2O	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
Ca(NO3)2·4H2O	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
Ca(NO3)2x4H2O	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
Ca(NO3)2 x 4 H2O (0.1% w/v)	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
Chalcopyrite	CHEBI:86202	chalcopyrite	Cu.Fe.2S
Co(NO3)2	CHEBI:86209	cobalt dinitrate	Co.2NO3
Co(NO3)2 x 6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3
Co(NO3)2·6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3
Co(NO3)2.6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3
FeCl2 x 4 H2O	CHEBI:86249	iron dichloride tetrahydrate	Cl2Fe.4H2O
FeCl2·4H2O	CHEBI:86249	iron dichloride tetrahydrate	Cl2Fe.4H2O
FeCl2 x 4 H2O (0.1% w/v in 0.2 N HCl)	CHEBI:86249	iron dichloride tetrahydrate	Cl2Fe.4H2O
FeCl 2 x 4 H2O	CHEBI:86249	iron dichloride tetrahydrate	Cl2Fe.4H2O
FeCl2 x 4 H2O (0.2% w/v in 0.02 N HCl)	CHEBI:86249	iron dichloride tetrahydrate	Cl2Fe.4H2O
FeCl3 x 6 H2O (0.5%)	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3 x 6 H2O (w/v=1%)	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3·6H2O	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3 x 6 H2O solution (2%)	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3.6H2O	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3 x 6 H2O (0.1% w/v in 0.2 N HCl)	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3 x 6 H2O	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
FeCl3*6 H2O	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
"FeCl3 x 6 H2O
NaEDTA"	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O
CuCl 2 x 2 H2O	CHEBI:86318	copper(II) chloride dihydrate	Cl2Cu.2H2O
CuCl2*2H2O	CHEBI:86318	copper(II) chloride dihydrate	Cl2Cu.2H2O
CuCl2-2H2O	CHEBI:86318	copper(II) chloride dihydrate	Cl2Cu.2H2O
CuCl2 x 2 H2O	CHEBI:86318	copper(II) chloride dihydrate	Cl2Cu.2H2O
CuCl2·2H2O	CHEBI:86318	copper(II) chloride dihydrate	Cl2Cu.2H2O
MgCl2·6H2O	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MgCl2x6H2O	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MgCl2x 6H2O	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
magnesium chloride	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MgCl2 x 6 H2O (200 g/l stock solution)	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MgCl2  x 6 H2O	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MgCl2.6H2O	CHEBI:86345	magnesium dichloride hexahydrate	2Cl.6H2O.Mg
MnSO4 x 2 H2O (0.1% w/v)	CHEBI:86356	manganese(II) sulfate dihydrate	2H2O.Mn.O4S
MnSO4 x 2 H2O (1% solution)	CHEBI:86356	manganese(II) sulfate dihydrate	2H2O.Mn.O4S
MnSO4.4H2O	CHEBI:86358	manganese(II) sulfate tetrahydrate	4H2O.Mn.O4S
MnSO4 x 1 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 5 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 4 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 2 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 7 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 7H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
MnSO4 x 6 H2O	CHEBI:86360	manganese(II) sulfate	Mn.O4S
Manganese Sulfate	CHEBI:86364	manganese(II) sulfate monohydrate	H2O.Mn.O4S
AlK(SO4)2	CHEBI:86463	potassium aluminium sulfate	Al.K.2O4S
AlK(SO4)2·12H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
KAl(SO4)2 x 12 H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
KAl(SO4)2·12H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
AlK(SO4)2 x 12H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
K2S4O6	CHEBI:86466		
Na2MoO4 x 7 H2O	CHEBI:86473	sodium molybdate heptahydrate	7H2O.MoO4.2Na
Na2SO3	CHEBI:86477	sodium sulfite	2Na.O3S
Sodium thioglycolate	CHEBI:86481	sodium thioglycolate	C2H3O2S.Na
L-Sodium lactate	CHEBI:867561		
VoSO4 x 2 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4 x 5 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4 x 2 H2O	CHEBI:87014	vanadyl sulfate hexahydrate	6H2O.O4S.OV
VOSO4·xH2O	CHEBI:87020	vanadyl sulfate hydrate	(H2O)n.O5SV
Mg(SO4) x 7 H2O (350 g/l stock solution)	CHEBI:87258	monoacylglycerol 18:3	C21H36O4
Mg(SO4) x 7H2O	CHEBI:87258	monoacylglycerol 18:3	C21H36O4
Resazurin	CHEBI:8806	Resazurin	C12H7NO4
3-Indolyl acetic acid	CHEBI:88356	3-methylphenylacetic acid	C9H10O2
CaCl2x6H2O	CHEBI:91243	calcium chloride hexahydrate	Ca.2Cl.6H2O
CaCl2 x 6 H2O	CHEBI:91243	calcium chloride hexahydrate	Ca.2Cl.6H2O
