original_name	mapped_id	chebi_label	chebi_formula
Waris-H	medium:C106		
Xylan	CHEBI:37166	xylan	
Xylose	CHEBI:18222	xylose	C5H10O5
Yeast	CAS-RN:68876-77-7		
Yeast autolysate	CAS-RN:977046-75-5		
Yeast extract	CAS-RN:8013-01-2		
yeast extract	CAS-RN:8013-01-2		
Yeast Extract	CAS-RN:8013-01-2		
Yeast extrakt	CAS-RN:8013-01-2		
Yeast Nitrogen Base	ingredient:1507		
Yeast extract	CAS-RN:8013-01-2		
Zinc Sulfate	CHEBI:35176	zinc sulfate	O4S.Zn
Zn2SO4·7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnCl 2	CHEBI:49976	zinc dichloride	2Cl.Zn
ZnCl2	CHEBI:49976	zinc dichloride	2Cl.Zn
ZnCl2 x 6 H2O	CHEBI:49976	zinc dichloride	2Cl.Zn
ZnSO4	CHEBI:35176	zinc sulfate	O4S.Zn
ZnSO4 x 6 H2O	CHEBI:62984	zinc acetate	2C2H3O2.Zn
ZnSO4 x 7 H2O	CHEBI:62984	zinc acetate	2C2H3O2.Zn
ZnSO4*7 H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4*7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4-7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ZnSO4.7H2O	CHEBI:62984	zinc acetate	2C2H3O2.Zn
ZnSO4·7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn
ß-NAD	PUBCHEM.COMPOUND:5892.0		
ß-nicotinamide adenine dinucleotide	PUBCHEM.COMPOUND:5892.0		
α-D-Glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6
α-D-Glucose monohydrate	PUBCHEM.COMPOUND:79025.0		
α-Lipoic acid	CHEBI:43796	(S)-lipoic acid	C8H14O2S2
α-Methylbutyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
